target,sampwt,trainFlg,appAge,appResidence,appTimeAddress,appIncome,appOcc,appFinanceCo,appChkSv,dealNewUsed,dealLoanToVal,cbFICO,cbTimeFile,cbMosAvg,cbUtilizn,cb90Ever,cbPctGood,cbMosDlq,cbInq5Mos,cbMosInq,Date_Opened
0,28.34083432,1,69,H,6,2166,e,N,3,N,24.20001221,813,1611,15,4,0,100,-99000576,0,-99000672,Sat Sep 09 15:00:00 CST 2006
0,49.7505254,1,31,H,1,4000,f,B,3,N,96.40000057,693,608,-99000784,21,0,92,-99000712,3,0,Mon May 07 15:00:00 CST 2007
0,28.34083432,2,36,H,3,3491,b,N,0,N,100,744,1607,10,25,0,100,-99000576,3,0,Sun Jan 21 16:00:00 CST 2007
0,49.10322092,1,49,R,4,1600,y,_,3,N,91.30000019,0,403,9,-99000672,0,-99000712,-99000576,1,0,Sat Jun 02 15:00:00 CST 2007
0,28.34083432,2,38,H,0,1600,h,N,3,N,75.70001221,684,1101,-99000784,78,0,100,-99000576,5,0,Tue Jul 25 15:00:00 CST 2006
0,48.97387704,1,25,M,0,1373,f,N,0,N,63,663,106,14,-99000672,0,100,-99000576,1,0,Sat Apr 14 15:00:00 CST 2007
0,45.35056428,2,21,P,10,1200,f,_,3,N,89.30000019,0,0,-99000784,-99000672,0,-99000712,-99000576,1,0,Sun Jul 02 15:00:00 CST 2006
0,28.34083432,1,62,Q,30,2083,e,_,3,N,72.6000061,651,2008,-99000784,87,0,90,64,3,0,Tue Nov 14 16:00:00 CST 2006
0,28.34083432,1,25,H,3,2638,g,F,2,N,79.20001221,682,508,1,91,0,92,-99000576,2,0,Mon Mar 26 15:00:00 CST 2007
0,28.34083432,1,29,H,6,2000,p,F,3,N,86,699,509,12,100,0,100,-99000576,2,0,Tue Jun 26 15:00:00 CST 2007
0,28.34083432,1,72,Q,52,13300,g,N,2,N,78.80000305,699,305,24,-99000672,0,100,-99000576,0,-99000672,Wed Jun 20 15:00:00 CST 2007
0,49.26761734,1,23,Q,1,1767,f,_,3,N,93.80000019,641,202,-99000784,64,0,100,-99000576,5,0,Sun Jun 17 15:00:00 CST 2007
0,28.34083432,1,42,H,3,6316,f,_,3,N,77.40000916,656,1603,-99000784,32,1,95,30,2,0,Thu Jun 28 15:00:00 CST 2007
0,28.34083432,1,38,H,10,1600,f,F,3,N,85.40000057,764,1300,1,0,0,90,-99000576,4,0,Sun Dec 10 16:00:00 CST 2006
0,28.34083432,1,41,H,2,1891,g,F,3,N,76.70001221,718,304,28,38,0,100,-99000576,2,0,Sat Jun 09 15:00:00 CST 2007
0,28.34083432,1,37,H,10,3000,p,_,3,N,72.6000061,786,611,13,0,0,100,-99000576,1,1,Wed Jan 24 16:00:00 CST 2007
0,28.34083432,1,32,H,10,2300,h,F,3,N,79.30000305,705,1003,-99000784,62,0,100,-99000576,3,0,Sat Jun 23 15:00:00 CST 2007
0,28.34083432,2,34,H,5,2850,e,_,3,N,80.1000061,657,1104,12,41,0,93,38,2,0,Thu Dec 14 16:00:00 CST 2006
0,28.34083432,1,42,H,12,3056,p,N,3,N,84.40000057,646,1103,2,95,0,89,40,6,0,Mon Aug 28 15:00:00 CST 2006
0,50.03281066,2,26,R,5,1600,b,F,3,N,96.10000038,699,605,-99000784,41,0,92,-99000712,1,0,Mon Mar 19 15:00:00 CST 2007
0,28.34083432,1,32,P,0,1516,f,N,3,N,76.90000916,629,601,11,68,0,80,1,9,0,Sat Jun 23 15:00:00 CST 2007
0,41.52517321,2,32,P,3,1700,g,N,3,N,96.10000038,620,404,4,95,0,100,-99000576,10,0,Wed Feb 07 16:00:00 CST 2007
0,28.34083432,1,23,R,0,906,e,N,0,N,79.30000305,710,1304,52,0,0,100,-99000576,20,1,Wed Jan 17 16:00:00 CST 2007
0,28.34083432,1,32,H,2,2800,k,N,3,N,70,643,600,-99000784,13,1,95,30,4,0,Fri Apr 20 15:00:00 CST 2007
0,28.34083432,2,28,R,4,1500,f,N,3,N,85.30000019,536,409,-99000784,50,2,50,2,2,0,Wed Jun 06 15:00:00 CST 2007
0,48.01676063,1,36,H,1,2700,b,N,3,N,90.70000076,567,1000,22,87,0,79,2,4,0,Thu Aug 24 15:00:00 CST 2006
0,28.34083432,1,52,H,28,3499,y,N,3,N,92.80000019,717,904,-99000784,51,0,100,-99000576,3,1,Mon Mar 05 16:00:00 CST 2007
0,28.34083432,2,61,H,1,1200,o,N,3,N,70.80000305,748,700,5,30,0,100,-99000576,0,-99000672,Wed Jul 05 15:00:00 CST 2006
0,28.34083432,1,56,H,11,1750,f,_,0,N,58.90000916,806,2003,-99000784,0,0,100,-99000576,0,-99000672,Sat Oct 21 15:00:00 CST 2006
0,28.34083432,1,19,R,1,1000,w,_,1,N,89.80000019,0,0,-99000784,-99000672,0,-99000712,-99000576,6,0,Fri Sep 08 15:00:00 CST 2006
0,28.34083432,1,67,H,28,885,g,N,3,N,74,777,3301,1,0,0,100,-99000576,1,1,Tue Aug 15 15:00:00 CST 2006
0,28.34083432,1,31,P,30,1100,w,F,3,N,80.5,630,903,-99000784,0,1,83,2,2,0,Thu May 10 15:00:00 CST 2007
0,28.34083432,1,32,H,3,4000,r,_,3,N,58.90000916,779,1005,-99000784,2,0,100,-99000576,4,0,Tue Apr 24 15:00:00 CST 2007
0,28.34083432,2,36,H,2,1667,r,N,0,N,74.6000061,762,604,1,2,0,100,-99000576,3,0,Wed Dec 27 16:00:00 CST 2006
0,28.34083432,1,24,P,24,1182,g,F,3,N,87.30000019,698,306,-99000784,15,0,100,-99000576,3,0,Thu Feb 01 16:00:00 CST 2007
0,28.34083432,1,21,R,0,900,f,_,3,N,64.90000916,654,110,-99000784,0,1,50,14,1,0,Sun Sep 10 15:00:00 CST 2006
0,28.34083432,1,33,H,20,1733,o,B,3,N,87,672,309,-99000784,0,0,100,-99000576,4,0,Sun Apr 01 15:00:00 CST 2007
0,28.34083432,1,58,H,19,1100,p,_,0,N,74.40000916,792,1202,-99000784,26,0,100,-99000576,0,-99000672,Sat Jun 23 15:00:00 CST 2007
0,48.66251417,1,20,R,0,1590,g,N,1,N,88.10000038,650,110,-99000784,47,0,100,-99000576,2,1,Sat Jul 22 15:00:00 CST 2006
0,28.34083432,1,54,H,11,4375,w,M,3,N,76.90000916,703,8708,-99000784,41,0,56,51,2,0,Thu Feb 08 16:00:00 CST 2007
0,28.34083432,1,26,P,26,2000,f,N,3,N,74.40000916,771,409,81,0,0,100,-99000576,3,0,Mon Nov 06 16:00:00 CST 2006
0,49.69378283,1,27,R,0,2500,g,N,3,N,86.10000038,676,311,2,75,0,100,-99000576,4,0,Sat Oct 07 15:00:00 CST 2006
0,28.34083432,2,22,R,1,2000,f,N,2,N,99.20000005,668,210,-99000784,45,0,100,-99000576,1,0,Sun Aug 13 15:00:00 CST 2006
0,28.34083432,1,58,H,10,11667,p,_,3,N,66.1000061,652,1010,17,1,1,80,2,2,4,Fri Jan 05 16:00:00 CST 2007
0,28.34083432,1,27,R,0,1600,y,N,3,N,76.80000305,665,607,69,-99000672,0,100,-99000576,3,0,Thu Apr 12 15:00:00 CST 2007
0,28.34083432,1,53,H,0,5000,b,N,3,N,91.40000057,768,1900,-99000784,29,0,81,-99000576,1,0,Sun Feb 25 16:00:00 CST 2007
0,28.34083432,1,31,H,0,5033,e,M,3,N,84.60000038,718,502,1,27,0,83,41,1,1,Tue Feb 27 16:00:00 CST 2007
0,28.34083432,1,28,R,3,5408,g,F,2,N,78.30000305,650,600,-99000784,69,0,100,-99000576,8,0,Wed Dec 20 16:00:00 CST 2006
0,28.34083432,2,54,H,5,2700,r,N,3,N,70.70001221,702,1007,1,16,2,84,35,1,0,Fri Jul 14 15:00:00 CST 2006
